UID,accession,collection_date,isolation_source,isolation_taxa,city,county,state,latitude,longitude,pseudo_lat,pseudo_lat,data_source
,KX547345,11-Aug-2004,,Corvus brachyrhynchos,,Rockland,New York,,,,,PRJNA262930
,KX547344,24-Jul-2013,,Culiseta sp.,,Oswego,New York,,,,,PRJNA262930
,KX547343,08-Aug-2012,,Aedes sp.,,Erie,New York,,,,,PRJNA262930
,KX547342,10-Aug-2006,,Culex sp.,,Orange,New York,,,,,PRJNA262930
,KX547341,31-Jan-2005,,Corvus brachyrhynchos,,Dutchess,New York,,,,,PRJNA262930
,KX547340,16-Aug-2012,,Culex sp.,,Orange,New York,,,,,PRJNA262930
,KX547339,11-Sep-2007,,Cyanocitta cristata,,Suffolk,New York,,,,,PRJNA262930
,KX547338,09-Sep-2005,,Corvus brachyrhynchos,,Richmond,New York,,,,,PRJNA262930
,KX547337,28-Sep-2012,,Culex sp.,,Rockland,New York,,,,,PRJNA262930
,KX547336,09-Sep-2002,,Corvus brachyrhynchos,,Essex,New York,,,,,PRJNA262930
,KX547335,05-Aug-2008,,Culex sp.,,Erie,New York,,,,,PRJNA262930
,KX547334,18-Jun-2012,,Culex sp.,,Erie,New York,,,,,PRJNA262930
,KX547333,09-Oct-2013,,Culex sp.,,Suffolk,New York,,,,,PRJNA262930
,KX547332,08-Aug-2005,,Corvus brachyrhynchos,,Bronx,New York,,,,,PRJNA262930
